Date,Time,Court,Teams,Results,Outcome,Players,PTS,REB,AST,STL,BLK,PF,TO,FGM,FG%,FGA,3PM,3PA,3P%
12/3/2025,,Regular Season,Hells Paradise,0|0|0|0|0|85,Loss,,,,,,,,,,,,,,
,,,,,,Sinnerz ll,43,0,8,1,0,1,1,16,80.0,20,11,14,78.6
,,,,,,TTV 4kJayW,18,0,2,1,0,1,0,6,50.0,12,5,10,50.0
,,,,,,HillfrmdaLou,15,13,5,0,0,2,1,7,87.5,8,0,0,0
,,,,,,YHWH zx,6,0,0,0,0,3,1,2,66.7,3,2,3,66.7
,,,,,,DonJulioTV,3,1,0,1,1,2,2,1,33.3,3,1,3,33.3
,,,SWVA PARADISE,0|0|0|0|0|94,Win,,,,,,,,,,,,,,,
,,,,,,Fen Sins,46,0,11,1,0,2,2,18,85.7,21,10,12,83.3
,,,,,,I CheddR I,14,0,6,0,0,0,0,5,55.6,9,4,7,57.1
,,,,,,King Plamer,14,2,4,1,0,2,1,6,60.0,10,2,5,40.0
,,,,,,VelcroV,11,0,2,3,0,3,0,4,100.0,4,3,3,100.0
,,,,,,Reedrix,9,10,6,0,0,1,1,4,100.0,4,0,0,0
