Date,Time,Court,Teams,Results,Outcome,Players,PTS,REB,AST,STL,BLK,PF,TO,FGM,FG%,FGA,3PM,3PA,3P%
11/25/2025,,Regular Season,LeanTeam,0|0|0|0|0|71,Loss,,,,,,,,,,,,,,
,,,,,,LTDupes,24,5,2,0,0,1,2,10,55.6,18,4,9,44.4
,,,,,,LTMaal,15,0,20,1,0,5,5,6,66.7,9,2,4,50.0
,,,,,,Im Their Plug,15,5,1,1,0,1,2,6,85.7,7,2,3,66.7
,,,,,,Romenparisus,11,0,0,0,0,0,0,4,66.7,6,3,5,60.0
,,,,,,Kyng Gaza,6,0,2,1,0,1,0,2,66.7,3,2,3,66.7
,,,Hells Paradise,0|0|0|0|0|103,Win,,,,,,,,,,,,,,,
,,,,,,TTV 4kJayW,42,0,2,0,0,1,0,15,78.9,19,11,13,84.6
,,,,,,Sinnerz ll,27,2,14,0,0,0,2,10,71.4,14,7,10,70.0
,,,,,,MJ EXISTS,24,0,1,3,1,2,0,9,60.0,15,4,8,50.0
,,,,,,Jitzeus,10,14,3,2,0,1,1,5,71.4,7,0,2,0.0
,,,,,,DonJulioTV,0,8,4,3,1,2,0,0,0.0,4,0,3,0.0
