Date,Time,Court,Teams,Results,Outcome,Players,PTS,REB,AST,STL,BLK,PF,TO,FGM,FG%,FGA,3PM,3PA,3P%
11/26/2025,,Regular Season,Out for blood,0|0|0|0|0|109,Win,,,,,,,,,,,,,,
,,,,,,Duffyszn2k,41,0,5,2,0,3,1,14,66.7,21,13,19,68.4
,,,,,,Cr vonte,26,3,4,1,1,1,0,10,62.5,16,6,10,60.0
,,,,,,Zee Da A1 PG,20,0,5,0,0,1,2,8,61.5,13,4,8,50.0
,,,,,,xMyless,19,7,15,2,1,2,0,8,80.0,10,3,3,100.0
,,,,,,Rich Rell,3,10,4,3,2,0,2,1,100.0,1,1,1,100.0
,,,Top Notch Pro Am,0|0|0|0|0|89,Loss,,,,,,,,,,,,,,,
,,,,,,FarewellTour,26,0,7,1,0,0,2,8,66.7,12,8,11,72.7
,,,,,,DayyTc,22,3,2,2,1,1,1,9,81.8,11,4,6,66.7
,,,,,,llBliik,21,0,1,0,0,2,1,8,72.7,11,5,8,62.5
,,,,,,OneWayPistol,14,7,10,0,0,0,3,7,63.6,11,0,1,0.0
,,,,,,HxchoG,6,0,8,0,0,0,1,3,75.0,4,0,0,0
