Date,Time,Court,Teams,Results,Outcome,Players,PTS,REB,AST,STL,BLK,PF,TO,FGM,FG%,FGA,3PM,3PA,3P%
12/2/2025,,Regular Season,Nightmare City,0|0|0|0|0|66,Loss,,,,,,,,,,,,,,
,,,,,,xLattin,28,0,3,1,0,0,2,10,66.7,15,8,12,66.7
,,,,,,XxCLUSIVE,22,9,3,0,0,0,4,11,78.6,14,0,0,0
,,,,,,island Devil,10,1,13,0,0,1,2,3,30.0,10,3,7,42.9
,,,,,,Catchingblessing,3,4,1,1,3,3,0,1,25.0,4,1,4,25.0
,,,,,,Xxmoneycashxx,3,0,0,2,0,0,0,1,50.0,2,1,2,50.0
,,,Untouchabulls,0|0|0|0|0|79,Win,,,,,,,,,,,,,,,
,,,,,,ISwaggyz,25,0,5,0,0,1,2,11,52.4,21,3,7,42.9
,,,,,,LockGPT,21,0,6,1,0,2,0,8,53.3,15,5,9,55.6
,,,,,,Controverssy,18,18,12,2,0,1,2,9,90.0,10,0,0,0
,,,,,,ICHEVVAI,12,3,1,4,2,0,2,4,57.1,7,4,6,66.7
,,,,,,ICoscu,3,5,3,0,0,1,0,1,50.0,2,1,2,50.0
