Date,Time,Court,Teams,Results,Outcome,Players,PTS,REB,AST,STL,BLK,PF,TO,FGM,FG%,FGA,3PM,3PA,3P%
11/24/2025,,Regular Season,Spaced Out SOE,0|0|0|0|0|63,Loss,,,,,,,,,,,,,,
,,,,,,TheParanoidduck,30,7,1,2,0,0,2,12,92.3,13,4,5,80.0
,,,,,,BrruceMan32,17,0,3,0,0,2,1,6,85.7,7,2,3,66.7
,,,,,,Break Toes,8,0,3,2,1,2,1,3,60.0,5,2,4,50.0
,,,,,,MikeHonchoooo,5,1,10,1,0,2,1,2,50.0,4,1,3,33.3
,,,,,,Ablueeee,3,5,0,1,0,1,1,1,12.5,8,1,5,20.0
,,,RuskaRomaPrep,0|0|0|0|0|66,Win,,,,,,,,,,,,,,,
,,,,,,zSTNx,26,1,10,0,0,0,2,9,81.8,11,6,8,75.0
,,,,,,Earlier-it,15,0,1,1,0,0,2,5,71.4,7,3,5,60.0
,,,,,,GodSentMel,11,9,5,0,1,1,0,4,66.7,6,1,1,100.0
,,,,,,|GodSent|-,10,1,0,1,0,0,0,4,57.1,7,2,5,40.0
,,,,,,Mir-In-Motion,4,1,2,3,0,2,2,2,40.0,5,0,2,0.0
