Date,Time,Court,Teams,Results,Outcome,Players,PTS,REB,AST,STL,BLK,PF,TO,FGM,FG%,FGA,3PM,3PA,3P%
12/1/2025,,Regular Season,Nun But Killas,0|0|0|0|0|63,Win,,,,,,,,,,,,,,
,,,,,,Hennmothy,24,0,3,0,0,2,0,9,75.0,12,4,6,66.7
,,,,,,Daehonncho,13,0,9,0,0,0,2,5,41.7,12,1,5,20.0
,,,,,,Defensive1stTeam,10,10,1,0,0,2,1,5,100.0,5,0,0,0
,,,,,,DellCobain,10,7,5,3,0,1,3,4,57.1,7,2,4,50.0
,,,,,,ForgivePxrge,6,0,0,0,0,1,0,2,50.0,4,1,3,33.3
,,,Bodega Cats,0|0|0|0|0|62,Loss,,,,,,,,,,,,,,,
,,,,,,GK1LLER77,19,0,2,0,0,1,0,7,58.3,12,5,8,62.5
,,,,,,goldenboy YP,17,0,5,2,0,1,1,7,53.8,13,3,5,60.0
,,,,,,TaeCP,15,10,2,1,1,0,2,6,75.0,8,3,4,75.0
,,,,,,lvlr Syn,11,2,0,1,0,1,0,4,44.4,9,2,6,33.3
,,,,,,o_ihoop5_o,0,0,5,1,1,4,0,0,0,0,0,0,0
