Date,Time,Court,Teams,Results,Outcome,Players,PTS,REB,AST,STL,BLK,PF,TO,FGM,FG%,FGA,3PM,3PA,3P%
12/6/2025,,Regular Season,Two City Cyclones,0|0|0|0|0|86,Win,,,,,,,,,,,,,,
,,,,,,SlimlQ,23,1,14,0,0,1,0,8,50.0,16,4,11,36.4
,,,,,,cheekylocc,22,0,1,1,0,0,0,9,90.0,10,4,5,80.0
,,,,,,YSNrunitup,21,0,6,0,0,0,0,8,72.7,11,5,7,71.4
,,,,,,eljefe_5k,10,6,0,1,1,0,2,4,57.1,7,2,3,66.7
,,,,,,llLoadingll,10,10,3,2,2,1,0,4,66.7,6,2,4,50.0
,,,Flourish Citizens,0|0|0|0|0|80,Loss,,,,,,,,,,,,,,,
,,,,,,ImClem4Real,31,1,4,0,0,0,2,11,68.8,16,9,11,81.8
,,,,,,JMDHeisman,23,1,8,1,0,4,1,10,62.5,16,3,5,60.0
,,,,,,invalidxzx,11,2,6,1,1,0,1,4,66.7,6,3,4,75.0
,,,,,,TheMayorOfNL3,11,0,0,0,0,1,1,4,50.0,8,1,3,33.3
,,,,,,TGF4021,4,11,4,0,0,0,0,2,50.0,4,0,0,0
