Date,Time,Court,Teams,Results,Outcome,Players,PTS,REB,AST,STL,BLK,PF,TO,FGM,FG%,FGA,3PM,3PA,3P%
11/25/2025,,Regular Season,Hoopers NXT Door,0|0|0|0|0|73,Loss,,,,,,,,,,,,,,
,,,,,,llfamtygll,30,0,11,0,0,0,1,11,55.0,20,6,13,46.2
,,,,,,StrawhatHatRD,15,0,0,0,0,0,0,6,66.7,9,3,4,75.0
,,,,,,lGioval,11,6,5,0,0,2,0,4,57.1,7,3,6,50.0
,,,,,,Tommy-RFS_RD,9,11,2,0,0,0,0,4,66.7,6,1,2,50.0
,,,,,,xLgnd30_RD,8,0,0,4,0,0,1,4,66.7,6,0,0,0
,,,Nightmare City,0|0|0|0|0|74,Win,,,,,,,,,,,,,,,
,,,,,,island Devil,35,0,10,0,0,0,4,12,80.0,15,10,11,90.9
,,,,,,xLattin,27,0,1,0,0,1,0,11,78.6,14,5,7,71.4
,,,,,,XxCLUSIVE,10,4,7,0,1,1,0,5,71.4,7,0,1,0.0
,,,,,,Xxmoneycashxx,2,0,0,0,0,3,0,1,100.0,1,0,0,0
,,,,,,Catchingblessing,0,5,4,1,0,2,1,0,0.0,1,0,1,0.0
