Date,Time,Court,Teams,Results,Outcome,Players,PTS,REB,AST,STL,BLK,PF,TO,FGM,FG%,FGA,3PM,3PA,3P%
12/3/2025,,Regular Season,Two City Cyclones,0|0|0|0|0|61,Loss,,,,,,,,,,,,,,
,,,,,,eljefe_5k,24,4,2,0,0,0,3,11,91.7,12,0,0,0
,,,,,,SlimlQ,19,0,8,2,0,0,4,7,43.8,16,5,13,38.5
,,,,,,llLoadingll,13,1,5,2,0,2,4,5,83.3,6,3,4,75.0
,,,,,,cheekylocc,3,1,2,1,0,1,1,1,100.0,1,1,1,100.0
,,,,,,Deyvw,2,3,3,1,0,0,1,1,50.0,2,0,0,0
,,,DUB DYNASTY,0|0|0|0|0|75,Win,,,,,,,,,,,,,,,
,,,,,,Tiktokpablo,23,0,12,1,0,2,6,10,58.8,17,3,9,33.3
,,,,,,Walksum-,22,0,1,0,0,1,1,9,100.0,9,4,4,100.0
,,,,,,LNO802MAG,17,7,2,2,0,0,1,8,88.9,9,1,2,50.0
,,,,,,Dynastyxkdub2k,8,3,1,2,1,1,0,3,75.0,4,2,3,66.7
,,,,,,IDKVINO,5,2,3,4,0,1,0,2,50.0,4,1,2,50.0
