Date,Time,Court,Teams,Results,Outcome,Players,PTS,REB,AST,STL,BLK,PF,TO,FGM,FG%,FGA,3PM,3PA,3P%
11/25/2025,,Regular Season,Coatesville,0|0|0|0|0|63,Loss,,,,,,,,,,,,,,
,,,,,,EnvyZayyy,20,1,5,0,0,1,0,8,57.1,14,4,9,44.4
,,,,,,DotForDubs,15,1,11,3,0,1,3,4,50.0,8,4,6,66.7
,,,,,,JlottoDaDon,11,3,2,2,1,1,0,4,66.7,6,3,4,75.0
,,,,,,Shaq Leonard725,10,6,2,0,1,1,1,5,83.3,6,0,0,0
,,,,,,IIBiggWanll,7,0,0,0,1,2,0,3,33.3,9,1,6,16.7
,,,Untouchabulls,0|0|0|0|0|69,Win,,,,,,,,,,,,,,,
,,,,,,ISwaggyz,34,0,6,0,0,1,3,12,66.7,18,7,10,70.0
,,,,,,LockGPT,16,0,3,2,0,3,2,7,77.8,9,2,3,66.7
,,,,,,Controverssy,8,9,5,0,1,2,2,4,100.0,4,0,0,0
,,,,,,Robertito_007,6,5,1,0,0,2,1,2,40.0,5,1,4,25.0
,,,,,,ICoscu,5,5,4,0,0,0,0,2,40.0,5,1,3,33.3
