Date,Time,Court,Teams,Results,Outcome,Players,PTS,REB,AST,STL,BLK,PF,TO,FGM,FG%,FGA,3PM,3PA,3P%
11/20/2025,,Regular Season,Untouchabulls,0|0|0|0|0|77,Win,,,,,,,,,,,,,,
,,,,,,ISwaggyz,32,0,9,0,0,0,1,12,57.1,21,8,11,72.7
,,,,,,LockGPT,18,0,4,1,0,2,0,7,70.0,10,4,7,57.1
,,,,,,ICHEVVAI,12,5,2,4,0,2,1,4,44.4,9,4,9,44.4
,,,,,,Controverssy,12,11,4,3,1,0,1,6,66.7,9,0,0,0
,,,,,,Robertito_007,3,1,1,0,0,1,1,1,25.0,4,0,3,0.0
,,,Madvillainz,0|0|0|0|0|76,Loss,,,,,,,,,,,,,,,
,,,,,,Dead Prez,23,4,5,0,1,3,0,8,61.5,13,5,8,62.5
,,,,,,MaicoBeams,21,1,14,0,0,0,6,7,70.0,10,7,10,70.0
,,,,,,CassiusClayI,14,5,2,0,2,0,1,6,85.7,7,2,2,100.0
,,,,,,Proof rr,9,0,3,3,0,2,1,4,66.7,6,1,3,33.3
,,,,,,Create envy,9,8,2,0,2,2,1,3,42.9,7,3,7,42.9
