Date,Time,Court,Teams,Results,Outcome,Players,PTS,REB,AST,STL,BLK,PF,TO,FGM,FG%,FGA,3PM,3PA,3P%
11/21/2025,,Regular Season,Triborough,0|0|0|0|0|49,Loss,,,,,,,,,,,,,,
,,,,,,BaseballJ-TikTok,22,0,5,0,0,4,3,8,72.7,11,4,4,100.0
,,,,,,Bnasty_Tv,9,0,3,0,0,2,2,4,40.0,10,1,5,20.0
,,,,,,Saucejigga,6,0,1,0,0,0,0,3,60.0,5,0,0,0
,,,,,,G_RAWWW3,6,5,1,3,0,0,2,2,28.6,7,2,6,33.3
,,,,,,ITROYBOYI,6,7,4,1,0,0,0,3,60.0,5,0,0,0
,,,Out for blood,0|0|0|0|0|75,Win,,,,,,,,,,,,,,,
,,,,,,Duffyszn2k,26,0,1,2,0,2,1,9,60.0,15,8,14,57.1
,,,,,,Zee Da A1 PG,17,0,6,0,0,0,2,6,75.0,8,5,7,71.4
,,,,,,Cr vonte,14,1,3,2,0,1,0,6,75.0,8,2,3,66.7
,,,,,,xMyless,12,9,4,1,1,1,1,5,62.5,8,2,4,50.0
,,,,,,Rich Rell,6,8,5,0,0,0,1,2,100.0,2,2,2,100.0
