Date,Time,Court,Teams,Results,Outcome,Players,PTS,REB,AST,STL,BLK,PF,TO,FGM,FG%,FGA,3PM,3PA,3P%
11/29/2025,,Regular Season,High Octane,0|0|0|0|0|65,Loss,,,,,,,,,,,,,,
,,,,,,SpilledMyWock-,22,1,3,2,0,0,5,9,64.3,14,4,6,66.7
,,,,,,Evos-Phynx,21,0,2,2,0,1,1,7,46.7,15,5,12,41.7
,,,,,,IIDevoll,12,3,0,3,1,2,1,4,66.7,6,4,5,80.0
,,,,,,PurpDaMenace,6,8,5,0,0,0,1,3,42.9,7,0,1,0.0
,,,,,,WooHardxn,4,1,3,2,0,0,1,2,28.6,7,0,3,0.0
,,,LeanTeam,0|0|0|0|0|88,Win,,,,,,,,,,,,,,,
,,,,,,LTMaal,25,0,18,2,0,0,7,10,71.4,14,4,7,57.1
,,,,,,D redd2x,20,6,5,2,0,1,3,8,88.9,9,4,5,80.0
,,,,,,LTDupes,17,13,1,1,2,0,0,8,57.1,14,1,2,50.0
,,,,,,Kyng Gaza,14,1,0,0,0,3,0,5,83.3,6,4,5,80.0
,,,,,,ImDeezus,12,4,3,4,0,1,0,5,71.4,7,2,4,50.0
