Date,Time,Court,Teams,Results,Outcome,Players,PTS,REB,AST,STL,BLK,PF,TO,FGM,FG%,FGA,3PM,3PA,3P%
11/18/2025,,Regular Season,BulletProof,0|0|0|0|0|80,Win,,,,,,,,,,,,,,
,,,,,,HellaHeavys,45,0,2,0,0,1,0,17,77.3,22,11,15,73.3
,,,,,,sonovember,12,7,8,1,1,0,1,6,66.7,9,0,0,0
,,,,,,Jairo2k,11,0,1,2,0,2,0,5,71.4,7,1,2,50.0
,,,,,,HellaBoots,6,1,13,1,0,0,2,1,16.7,6,1,4,25.0
,,,,,,TotallyCoco,6,8,2,2,1,0,1,2,50.0,4,2,3,66.7
,,,Bodega Cats,0|0|0|0|0|79,Loss,,,,,,,,,,,,,,,
,,,,,,GK1LLER77,32,0,1,0,0,0,2,11,73.3,15,10,12,83.3
,,,,,,lvlr Syn,26,5,1,0,0,0,0,10,71.4,14,6,6,100.0
,,,,,,goldenboy YP,17,0,4,1,0,0,2,7,58.3,12,3,3,100.0
,,,,,,o_ihoop5_o,2,0,8,2,0,4,1,1,100.0,1,0,0,0
,,,,,,TaeCP,2,10,3,1,1,0,1,1,25.0,4,0,1,0.0
