Date,Time,Court,Teams,Results,Outcome,Players,PTS,REB,AST,STL,BLK,PF,TO,FGM,FG%,FGA,3PM,3PA,3P%
11/22/2025,,Regular Season,Liquid Pro Am,0|0|0|0|0|60,Win,,,,,,,,,,,,,,
,,,,,,Antoinelove,23,0,8,0,0,1,0,8,100.0,8,7,7,100.0
,,,,,,doodlebam,19,0,0,0,0,1,0,7,70.0,10,5,7,71.4
,,,,,,BallupTop,10,7,4,0,0,1,0,5,83.3,6,0,0,0
,,,,,,jaysnagss,8,3,4,2,0,0,0,3,75.0,4,2,2,100.0
,,,,,,IIPoppersil,0,2,1,2,0,2,0,0,0.0,2,0,2,0.0
,,,THE MOB,0|0|0|0|0|30,Loss,,,,,,,,,,,,,,,
,,,,,,Reallytrxp,15,0,0,0,0,0,0,5,50.0,10,5,9,55.6
,,,,,,LoveGone-,8,1,6,0,0,0,4,2,40.0,5,2,5,40.0
,,,,,,Gothum,5,2,0,0,0,0,0,2,22.2,9,1,6,16.7
,,,,,,Hit RB LT,2,5,1,0,1,0,0,1,50.0,2,0,0,0
,,,,,,StopBaited,0,0,1,0,0,0,0,0,0,0,0,0,0
