Date,Time,Court,Teams,Results,Outcome,Players,PTS,REB,AST,STL,BLK,PF,TO,FGM,FG%,FGA,3PM,3PA,3P%
11/17/2025,,Regular Season,Triborough,0|0|0|0|0|77,Loss,,,,,,,,,,,,,,
,,,,,,Bnasty_Tv,27,0,4,0,0,3,1,10,71.4,14,7,10,70.0
,,,,,,G_RAWWW3,22,4,7,3,1,2,2,8,72.7,11,6,9,66.7
,,,,,,Saucejigga,10,2,0,1,0,1,0,5,100.0,5,0,0,0
,,,,,,Jawadooooo_NYC,10,6,3,0,0,0,2,5,83.3,6,0,0,0
,,,,,,BaseballJ-TikTok,8,0,11,0,0,0,2,3,33.3,9,1,4,25.0
,,,Hoop culture,0|0|0|0|0|81,Win,,,,,,,,,,,,,,,
,,,,,,Routted,28,0,1,1,0,0,0,10,43.5,23,8,15,53.3
,,,,,,StopMyMid,25,0,14,1,0,1,5,8,57.1,14,7,11,63.6
,,,,,,TayGilgeous,18,18,4,1,0,1,2,9,100.0,9,0,0,0
,,,,,,LiquiditySweepp,10,0,0,2,1,2,0,5,100.0,5,0,0,0
,,,,,,EST-TRU,0,2,2,1,0,4,0,0,0.0,2,0,1,0.0
