Date,Time,Court,Teams,Results,Outcome,Players,PTS,REB,AST,STL,BLK,PF,TO,FGM,FG%,FGA,3PM,3PA,3P%
12/5/2025,,Regular Season,Dawg Mentality,0|0|0|0|0|61,Loss,,,,,,,,,,,,,,
,,,,,,xthebeltx,22,0,8,0,0,1,3,7,58.3,12,7,11,63.6
,,,,,,Best Break,19,0,3,0,0,1,2,8,66.7,12,3,5,60.0
,,,,,,ODthatdude,14,11,3,1,1,0,2,6,75.0,8,0,0,0
,,,,,,Lane Stealin,3,4,2,3,0,3,1,1,50.0,2,1,2,50.0
,,,,,,Drenchgod919,3,1,1,0,0,4,1,1,33.3,3,1,2,50.0
,,,ZeroTolerance,0|0|0|0|0|70,Win,,,,,,,,,,,,,,,
,,,,,,xojask,20,7,4,1,0,2,1,10,83.3,12,0,1,0.0
,,,,,,lgothagun,14,1,9,0,0,0,2,5,62.5,8,3,6,50.0
,,,,,,Agaara,14,0,5,3,0,1,1,5,50.0,10,4,8,50.0
,,,,,,SioDied,13,4,1,1,0,1,1,5,62.5,8,3,4,75.0
,,,,,,SynnSuave,9,1,2,3,0,2,0,4,57.1,7,1,3,33.3
