Date,Time,Court,Teams,Results,Outcome,Players,PTS,REB,AST,STL,BLK,PF,TO,FGM,FG%,FGA,3PM,3PA,3P%
11/24/2025,,Regular Season,Black Men Don't Cheat,0|0|0|0|0|65,Loss,,,,,,,,,,,,,,
,,,,,,Ejenk21,31,0,5,1,0,1,0,10,45.5,22,9,21,42.9
,,,,,,push meds,16,0,2,0,0,0,0,5,45.5,11,4,7,57.1
,,,,,,ysalB,13,0,1,3,0,2,0,4,80.0,5,3,4,75.0
,,,,,,exploitgawdtv--,3,4,2,2,1,4,1,1,12.5,8,1,8,12.5
,,,,,,LeGunDownJames,2,13,2,1,0,0,3,1,20.0,5,0,0,0
,,,Flourish Citizens,0|0|0|0|0|82,Win,,,,,,,,,,,,,,,
,,,,,,ImClem4Real,26,0,9,0,0,2,4,9,69.2,13,6,10,60.0
,,,,,,TGF4021,25,21,5,1,1,1,1,12,85.7,14,0,0,0
,,,,,,JMDHeisman,15,0,8,0,1,3,2,5,55.6,9,5,7,71.4
,,,,,,xzDOPExz,11,2,2,0,0,3,0,5,62.5,8,1,2,50.0
,,,,,,M1keyTheGem40,5,5,1,1,1,0,0,2,50.0,4,1,3,33.3
