Date,Time,Court,Teams,Results,Outcome,Players,PTS,REB,AST,STL,BLK,PF,TO,FGM,FG%,FGA,3PM,3PA,3P%
12/5/2025,,Regular Season,Horn of Africa,0|0|0|0|0|22,Loss,,,,,,,,,,,,,,
,,,,,,nomercix,7,0,0,0,0,1,1,3,60.0,5,1,2,50.0
,,,,,,MaliBrahh,5,0,0,0,0,1,2,1,33.3,3,1,2,50.0
,,,,,,LaysNotRuffles,5,0,1,0,0,0,1,2,50.0,4,1,2,50.0
,,,,,,YUSTHABOSS,3,4,0,0,0,0,0,1,33.3,3,1,2,50.0
,,,,,,ISayGuardUp,2,0,5,0,0,0,1,0,0.0,3,0,2,0.0
,,,Loyalty Runs Deep,0|0|0|0|0|52,Win,,,,,,,,,,,,,,,
,,,,,,BlacLabelz0,27,0,1,1,0,4,0,10,71.4,14,5,6,83.3
,,,,,,R1 oSaints,11,0,1,0,0,1,0,4,100.0,4,3,3,100.0
,,,,,,Sessions4467,8,3,3,2,0,0,0,3,60.0,5,2,4,50.0
,,,,,,IIIAmVicious,4,8,5,0,0,0,0,2,66.7,3,0,0,0
,,,,,,LuisGotNext,2,4,2,1,0,2,0,1,50.0,2,0,1,0.0
