Date,Time,Court,Teams,Results,Outcome,Players,PTS,REB,AST,STL,BLK,PF,TO,FGM,FG%,FGA,3PM,3PA,3P%
11/20/2025,,Regular Season,Show Up Show Out,0|0|0|0|0|41,Loss,,,,,,,,,,,,,,
,,,,,,NooCalleriiD_TTV,14,0,4,0,0,0,6,5,62.5,8,4,5,80.0
,,,,,,Oc-ern-,14,0,0,0,0,1,1,5,41.7,12,4,9,44.4
,,,,,,OC-SlightlyLate,7,4,3,0,0,0,0,3,75.0,4,1,1,100.0
,,,,,,QueTreyz33,6,3,3,0,0,1,1,2,66.7,3,2,3,66.7
,,,,,,YouxBop,0,0,2,0,0,4,1,0,0.0,3,0,0,0
,,,Lightsout,0|0|0|0|0|82,Win,,,,,,,,,,,,,,,
,,,,,,IIIzIIII,36,1,3,1,0,0,0,13,76.5,17,10,14,71.4
,,,,,,Melder_,22,2,1,2,1,0,0,7,70.0,10,5,8,62.5
,,,,,,Real JGF,13,3,0,3,1,1,0,5,71.4,7,1,1,100.0
,,,,,,TmChris2k,9,1,3,0,0,0,0,3,75.0,4,3,4,75.0
,,,,,,XFatboyTrae,2,13,10,1,0,1,1,1,25.0,4,0,0,0
