Date,Time,Court,Teams,Results,Outcome,Players,PTS,REB,AST,STL,BLK,PF,TO,FGM,FG%,FGA,3PM,3PA,3P%
11/22/2025,,Regular Season,The Blueprint,0|0|0|0|0|36,Loss,,,,,,,,,,,,,,
,,,,,,Rattysreturn,11,0,2,0,0,0,1,4,57.1,7,3,5,60.0
,,,,,,lDisparo,10,0,3,0,0,0,4,4,44.4,9,2,5,40.0
,,,,,,Swann_2KL,8,6,1,0,0,1,1,4,100.0,4,0,0,0
,,,,,,FirstBallot,4,0,0,2,0,2,0,2,100.0,2,0,0,0
,,,,,,Beezy TC,3,0,1,2,0,0,2,1,20.0,5,1,3,33.3
,,,ZeroTolerance,0|0|0|0|0|65,Win,,,,,,,,,,,,,,,
,,,,,,outxshyne,30,0,1,2,0,0,0,11,91.7,12,8,9,88.9
,,,,,,lgothagun,11,1,8,0,0,0,3,4,50.0,8,3,7,42.9
,,,,,,cameraflip,9,0,0,3,0,3,0,4,80.0,5,1,2,50.0
,,,,,,xojask,9,8,8,0,0,0,0,4,100.0,4,1,1,100.0
,,,,,,SioDied,6,2,2,1,2,1,1,2,100.0,2,2,2,100.0
