Date,Time,Court,Teams,Results,Outcome,Players,PTS,REB,AST,STL,BLK,PF,TO,FGM,FG%,FGA,3PM,3PA,3P%
11/18/2025,,Regular Season,Untouchabulls,0|0|0|0|0|82,Win,,,,,,,,,,,,,,
,,,,,,ISwaggyz,46,1,9,0,0,0,3,18,78.3,23,10,14,71.4
,,,,,,Controverssy,18,6,6,1,1,2,0,8,88.9,9,0,0,0
,,,,,,LockGPT,13,0,5,1,0,3,0,5,83.3,6,3,4,75.0
,,,,,,ICHEVVAI,3,4,2,2,0,1,0,1,33.3,3,1,3,33.3
,,,,,,ICoscu,2,4,3,1,1,0,1,1,50.0,2,0,1,0.0
,,,No Warning,0|0|0|0|0|78,Loss,,,,,,,,,,,,,,,
,,,,,,ayrabb-,41,0,2,0,0,2,0,15,65.2,23,10,18,55.6
,,,,,,JusFadez-,15,0,11,1,0,0,3,5,71.4,7,5,7,71.4
,,,,,,Tempiffy,11,5,8,0,0,1,0,5,83.3,6,1,1,100.0
,,,,,,JusstinShines,9,2,3,1,1,0,1,3,75.0,4,3,4,75.0
,,,,,,yDeadeyeYT,2,0,0,0,0,2,1,1,50.0,2,0,0,0
11/18/2025,,Regular Season,Supreme styles,0|0|0|0|0|72,Loss,,,,,,,,,,,,,,
,,,,,,"IIITheXmaNIII
",27,1,9,0,0,1,3,9,90.0,10,7,8,87.5
,,,,,,NoLimit_Kevv,16,0,8,1,0,1,1,7,46.7,15,2,7,28.6
,,,,,,LeThaLTrXsTeR,14,13,5,0,0,1,1,7,87.5,8,0,0,0
,,,,,,stammm7,12,4,1,1,0,4,1,5,71.4,7,2,4,50.0
,,,,,,AMP110_,3,0,0,0,0,4,1,1,20.0,5,1,4,25.0
,,,Must See TV,0|0|0|0|0|85,Win,,,,,,,,,,,,,,,
,,,,,,A_WalkingBucket_,34,0,4,3,0,0,0,12,60.0,20,9,13,69.2
,,,,,,Osakueva_,30,0,5,0,0,1,1,10,62.5,16,10,16,62.5
,,,,,,Flac0_0,15,8,2,2,0,2,0,6,75.0,8,2,3,66.7
,,,,,,Ali-The-GreaT,4,1,2,1,0,3,0,2,100.0,2,0,0,0
,,,,,,JERY05,2,7,0,0,0,0,1,1,25.0,4,0,0,0
11/18/2025,,Regular Season,Show Up Show Out,0|0|0|0|0|73,Loss,,,,,,,,,,,,,,
,,,,,,YouxBOP,22,0,1,3,0,1,1,8,61.5,13,4,9,44.4
,,,,,,OC-ERN-,18,1,4,0,0,2,0,7,36.8,19,4,12,33.3
,,,,,,QueTreyz33,18,6,2,2,0,0,2,7,63.6,11,4,8,50.0
,,,,,,NooCalleriiD_TTV,11,1,4,0,0,0,2,4,28.6,14,3,9,33.3
,,,,,,OC-SlightlyLate,4,16,10,1,1,2,1,2,50.0,4,0,1,0.0
,,,Defy Gravity,0|0|0|0|0|87,Win,,,,,,,,,,,,,,,
,,,,,,Jaigy,43,1,5,0,0,1,3,16,84.2,19,11,13,84.6
,,,,,,llSafll,18,2,5,2,0,0,2,7,58.3,12,4,9,44.4
,,,,,,Vleur,16,8,7,2,0,2,1,6,85.7,7,3,4,75.0
,,,,,,AyeeyooCorb,7,12,6,0,0,1,2,3,50.0,6,1,1,100.0
,,,,,,NextLaneOpen-,3,0,1,2,0,2,1,1,25.0,4,1,3,33.3
11/18/2025,,Regular Season,Bad Energy,0|0|0|0|0|71,Win,,,,,,,,,,,,,,
,,,,,,Im Vxnom,22,1,1,0,0,0,1,7,70.0,10,6,8,75.0
,,,,,,StopMortal,19,2,7,0,0,1,2,7,53.8,13,5,10,50.0
,,,,,,Mvsephh,18,7,3,1,1,0,2,9,69.2,13,0,0,0
,,,,,,CJ_OnDeck,7,0,1,1,0,5,0,2,40.0,5,1,1,100.0
,,,,,,AintThatOurBall,5,10,6,3,0,2,0,2,28.6,7,1,5,20.0
,,,Heartless,0|0|0|0|0|66,Loss,,,,,,,,,,,,,,,
,,,,,,GINOBILLI,25,1,5,1,0,3,3,7,53.8,13,6,10,60.0
,,,,,,llllllllll1,20,0,1,0,0,1,2,8,61.5,13,4,8,50.0
,,,,,,Prvmx,7,2,3,0,1,1,0,2,50.0,4,2,4,50.0
,,,,,,II MxL II,7,1,0,3,1,0,0,3,60.0,5,1,3,33.3
,,,,,,Saksfiith,7,13,7,1,1,1,3,3,50.0,6,1,1,100.0
11/18/2025,,Regular Season,Out for blood,0|0|0|0|0|92,Loss,,,,,,,,,,,,,,
,,,,,,DuffySzn2k,28,0,5,1,0,2,2,10,71.4,14,8,12,66.7
,,,,,,Boogie GS,22,0,1,2,0,0,0,8,50.0,16,6,14,42.9
,,,,,,Rich Rell,17,6,4,1,1,1,4,6,100.0,6,5,5,100.0
,,,,,,Zee Da A1 PG,14,1,12,2,0,0,1,5,55.6,9,3,7,42.9
,,,,,,xMyless,11,5,8,1,0,1,3,4,66.7,6,3,4,75.0
,,,Bad Energy,0|0|0|0|0|102,Win,,,,,,,,,,,,,,,
,,,,,,Mvsephh,40,11,4,3,1,2,1,17,94.4,18,2,2,100.0
,,,,,,Im Vxnom,24,1,4,1,0,0,1,9,52.9,17,6,10,60.0
,,,,,,StopMortal,21,1,12,0,0,1,0,7,70.0,10,7,10,70.0
,,,,,,AintThatOurBall,9,8,7,2,0,0,3,4,44.4,9,1,5,20.0
,,,,,,CJ_OnDeck,8,1,1,3,0,0,3,3,100.0,3,2,2,100.0
11/18/2025,,Regular Season,Supreme styles,0|0|0|0|0|57,Loss,,,,,,,,,,,,,,
,,,,,,NoLimit_Kevv,23,1,2,2,2,1,0,9,56.3,16,4,9,44.4
,,,,,,LeThaLTrXsTeR,13,12,6,0,1,1,0,5,55.6,9,2,3,66.7
,,,,,,stammm7,10,4,0,2,0,3,1,4,80.0,5,2,3,66.7
