Date,Time,Court,Teams,Results,Outcome,Players,PTS,REB,AST,STL,BLK,PF,TO,FGM,FG%,FGA,3PM,3PA,3P%
12/5/2025,,Regular Season,LeanTeam,0|0|0|0|0|81,Win,,,,,,,,,,,,,,
,,,,,,LTMaal,32,1,18,0,0,1,2,13,86.7,15,3,3,100.0
,,,,,,Im Their Plug,17,3,3,0,1,1,0,7,58.3,12,2,6,33.3
,,,,,,Kyng Gaza,15,2,2,2,0,2,1,6,75.0,8,3,5,60.0
,,,,,,ImDeezus,11,0,0,4,0,0,0,5,71.4,7,1,1,100.0
,,,,,,D redd2x,6,1,0,2,2,2,0,2,100.0,2,2,2,100.0
,,,Horn of Africa,0|0|0|0|0|74,Loss,,,,,,,,,,,,,,,
,,,,,,ISayGuardUp,23,0,10,0,0,2,7,7,46.7,15,7,14,50.0
,,,,,,YUSTHABOSS,20,17,6,0,0,0,0,10,83.3,12,0,0,0
,,,,,,MaliBrahh,13,0,2,1,0,0,2,5,71.4,7,3,4,75.0
,,,,,,iOnlyFace,10,2,4,0,1,1,0,4,80.0,5,2,3,66.7
,,,,,,nomercix,8,0,0,2,0,0,0,3,42.9,7,2,5,40.0
