Date,Time,Court,Teams,Results,Outcome,Players,PTS,REB,AST,STL,BLK,PF,TO,FGM,FG%,FGA,3PM,3PA,3P%
11/25/2025,,Regular Season,Madvillainz,0|0|0|0|0|59,Loss,,,,,,,,,,,,,,
,,,,,,MaicoBeams,17,0,11,0,0,0,7,7,70.0,10,3,6,50.0
,,,,,,CassiusClayI,17,5,2,0,0,1,1,7,100.0,7,3,3,100.0
,,,,,,Dead Prez,10,1,2,1,0,1,1,4,50.0,8,2,4,50.0
,,,,,,Proof rr,9,0,0,1,0,5,0,4,80.0,5,1,2,50.0
,,,,,,Create envy,6,5,1,1,0,1,3,2,66.7,3,1,2,50.0
,,,RuskaRomaPrep,0|0|0|0|0|85,Win,,,,,,,,,,,,,,,
,,,,,,zSTNx,23,0,12,0,0,2,1,9,81.8,11,5,6,83.3
,,,,,,Earlier-it,19,0,0,0,0,0,0,6,66.7,9,4,7,57.1
,,,,,,Mir-In-Motion,18,1,2,4,1,0,0,7,70.0,10,4,7,57.1
,,,,,,GodSentMel,13,7,4,2,0,0,1,6,100.0,6,1,1,100.0
,,,,,,|GodSent|-,12,0,1,4,0,0,1,5,55.6,9,2,5,40.0
