Date,Time,Court,Teams,Results,Outcome,Players,PTS,REB,AST,STL,BLK,PF,TO,FGM,FG%,FGA,3PM,3PA,3P%
11/24/2025,,Regular Season,InVigor Alliance,0|0|0|0|0|63,Loss,,,,,,,,,,,,,,
,,,,,,lakiwi,16,0,12,1,0,0,4,6,46.2,13,4,10,40.0
,,,,,,ImThePringleman,13,0,2,2,0,1,1,5,45.5,11,3,7,42.9
,,,,,,bronx_duffle,13,0,0,0,0,3,1,6,66.7,9,1,3,33.3
,,,,,,JokerADB,12,9,2,2,0,1,1,6,85.7,7,0,0,0
,,,,,,Smoove Tristxn,9,7,2,2,1,2,1,4,66.7,6,1,2,50.0
,,,Spaced Out SOE,0|0|0|0|0|67,Win,,,,,,,,,,,,,,,
,,,,,,Integrals,20,1,10,2,0,0,4,9,81.8,11,0,2,0.0
,,,,,,Break Toes,16,0,0,2,0,2,1,6,75.0,8,3,5,60.0
,,,,,,Ablueeee,16,8,2,2,2,0,0,6,85.7,7,4,4,100.0
,,,,,,ESPN at 8AM,9,0,1,0,0,0,1,4,44.4,9,1,5,20.0
,,,,,,TheParanoidduck,6,5,5,1,2,0,2,3,42.9,7,0,1,0.0
