Date,Time,Court,Teams,Results,Outcome,Players,PTS,REB,AST,STL,BLK,PF,TO,FGM,FG%,FGA,3PM,3PA,3P%
11/18/2025,,Regular Season,INetwork Esports,0|0|0|0|0|82,Win,,,,,,,,,,,,,,
,,,,,,iball_splash,34,0,7,0,0,1,5,11,73.3,15,7,11,63.6
,,,,,,HansonCaroline10,18,0,3,0,0,0,1,7,77.8,9,4,4,100.0
,,,,,,ChicagoStreetz-,17,0,1,3,0,2,0,7,70.0,10,3,5,60.0
,,,,,,CantGuardRobTTV,10,14,6,0,0,2,2,5,100.0,5,0,0,0
,,,,,,GetEmChoppa,3,1,1,0,0,4,1,1,33.3,3,1,2,50.0
,,,Zentastic5,0|0|0|0|0|81,Loss,,,,,,,,,,,,,,,
,,,,,,Guess passes,23,0,10,0,0,1,1,6,46.2,13,6,12,50.0
,,,,,,Chriskickz,23,0,3,2,0,1,0,8,88.9,9,5,6,83.3
,,,,,,Hey feared,20,4,2,0,0,0,1,9,81.8,11,1,3,33.3
,,,,,,Ima sell,11,0,2,5,0,3,0,5,83.3,6,1,1,100.0
,,,,,,iFlaccoTV,4,2,5,1,1,1,1,1,50.0,2,0,1,0.0
