Date,Time,Court,Teams,Results,Outcome,Players,PTS,REB,AST,STL,BLK,PF,TO,FGM,FG%,FGA,3PM,3PA,3P%
11/20/2025,,Regular Season,Supreme styles,0|0|0|0|0|56,Loss,,,,,,,,,,,,,,
,,,,,,Nolock-,18,1,1,2,0,4,1,8,80.0,10,2,4,50.0
,,,,,,Iiithexmaniii,11,1,4,0,0,3,3,4,50.0,8,3,3,100.0
,,,,,,Nolimitkev,11,0,3,2,0,1,1,3,37.5,8,2,7,28.6
,,,,,,LethalTrxster,11,8,5,0,1,1,2,5,62.5,8,1,3,33.3
,,,,,,Stammm7,5,3,1,0,0,1,0,2,33.3,6,0,2,0.0
,,,Under The Influence,0|0|0|0|0|74,Win,,,,,,,,,,,,,,,
,,,,,,Gods Jumpuh,30,0,2,2,0,2,1,11,84.6,13,8,9,88.9
,,,,,,Love A Eater,17,1,6,0,0,3,3,6,50.0,12,4,7,57.1
,,,,,,ItsEalo,11,2,1,2,1,2,0,4,100.0,4,3,3,100.0
,,,,,,Korvoski,8,2,2,1,0,2,0,4,50.0,8,0,3,0.0
,,,,,,IIBeebsterII,8,12,10,0,1,2,1,3,75.0,4,0,0,0
