Date,Time,Court,Teams,Results,Outcome,Players,PTS,REB,AST,STL,BLK,PF,TO,FGM,FG%,FGA,3PM,3PA,3P%
11/25/2025,,Regular Season,Rockstar,0|0|0|0|0|88,Win,,,,,,,,,,,,,,
,,,,,,Pgjeree,39,0,13,1,0,0,0,15,75.0,20,8,13,61.5
,,,,,,iSnap380-,27,0,1,0,0,0,0,11,78.6,14,5,6,83.3
,,,,,,Candidness,10,5,5,1,0,2,0,5,100.0,5,0,0,0
,,,,,,Solotry,9,1,0,1,0,2,0,4,80.0,5,1,2,50.0
,,,,,,iJohnka,3,5,1,2,1,1,0,1,33.3,3,1,3,33.3
,,,Hidden Greatness,0|0|0|0|0|73,Loss,,,,,,,,,,,,,,,
,,,,,,Futurewyd,27,0,12,0,0,1,1,10,62.5,16,7,11,63.6
,,,,,,Tfjuice,15,1,3,0,0,3,1,6,75.0,8,3,5,60.0
,,,,,,Bufsi,15,9,4,0,0,0,1,5,71.4,7,2,2,100.0
,,,,,,EvolutionDrizzy,11,1,1,0,0,1,1,4,44.4,9,3,5,60.0
,,,,,,Yessirdylan,5,4,0,0,0,0,1,2,40.0,5,1,4,25.0
