Date,Time,Court,Teams,Results,Outcome,Players,PTS,REB,AST,STL,BLK,PF,TO,FGM,FG%,FGA,3PM,3PA,3P%
11/24/2025,,Regular Season,Show Up Show Out,0|0|0|0|0|56,Loss,,,,,,,,,,,,,,
,,,,,,NooCalleriiD_TTV,22,0,5,0,0,2,3,9,56.3,16,4,11,36.4
,,,,,,Oc-ern-,13,0,4,1,0,1,0,6,60.0,10,1,4,25.0
,,,,,,YouxBop,11,4,4,3,0,0,4,4,80.0,5,3,4,75.0
,,,,,,Ragu_TheSauceGod,8,10,4,0,1,1,0,4,57.1,7,0,1,0.0
,,,,,,QueTreyz33,2,0,3,2,0,4,0,1,50.0,2,0,1,0.0
,,,Fenix,0|0|0|0|0|66,Win,,,,,,,,,,,,,,,
,,,,,,xLeCuban,20,13,3,3,0,1,1,10,76.9,13,0,1,0.0
,,,,,,makina319,19,0,12,0,0,2,4,8,66.7,12,3,5,60.0
,,,,,,DC-24RD-,14,4,2,0,0,0,0,5,71.4,7,4,4,100.0
,,,,,,elcangry1123,10,0,0,0,0,0,1,4,66.7,6,2,4,50.0
,,,,,,R3L4X PR-,3,0,0,3,0,0,0,1,16.7,6,1,4,25.0
