Date,Time,Court,Teams,Results,Outcome,Players,PTS,REB,AST,STL,BLK,PF,TO,FGM,FG%,FGA,3PM,3PA,3P%
11/29/2025,,Regular Season,Fenix,0|0|0|0|0|66,Loss,,,,,,,,,,,,,,
,,,,,,llchillzll,27,0,0,1,0,1,0,10,76.9,13,7,10,70.0
,,,,,,VizionHated,18,0,14,1,0,2,4,6,35.3,17,6,15,40.0
,,,,,,ZFANIA_PR,10,10,3,0,1,2,6,5,100.0,5,0,0,0
,,,,,,xLeCuban,8,3,1,6,0,2,1,3,100.0,3,2,2,100.0
,,,,,,R3L4X PR-,3,0,1,0,0,0,2,1,25.0,4,1,3,33.3
,,,Bad Energy,0|0|0|0|0|74,Win,,,,,,,,,,,,,,,
,,,,,,ILocksy,22,0,1,6,1,3,0,9,69.2,13,4,8,50.0
,,,,,,StopMortal,17,0,8,1,0,2,5,6,46.2,13,4,10,40.0
,,,,,,Mvsephh,16,13,7,1,1,1,1,7,63.6,11,2,4,50.0
,,,,,,nxtgenstreetTTV,12,1,2,2,0,1,1,5,55.6,9,2,3,66.7
,,,,,,AintThatOurBall,7,7,3,1,0,0,1,3,60.0,5,1,1,100.0
