Date,Time,Court,Teams,Results,Outcome,Players,PTS,REB,AST,STL,BLK,PF,TO,FGM,FG%,FGA,3PM,3PA,3P%
11/19/2025,,Regular Season,Show Up Show Out,0|0|0|0|0|61,Loss,,,,,,,,,,,,,,
,,,,,,Oc-ern-,20,0,3,1,0,1,1,8,47.1,17,4,8,50.0
,,,,,,YouxBop,19,0,2,1,0,1,1,7,50.0,14,5,7,71.4
,,,,,,OC-SlightlyLate,14,12,3,0,0,0,4,7,87.5,8,0,0,0
,,,,,,NooCalleriiD_TTV,5,0,9,1,0,1,2,2,20.0,10,1,6,16.7
,,,,,,SteezQueLOE,3,2,5,1,0,2,2,1,16.7,6,1,5,20.0
,,,BulletProof,0|0|0|0|0|113,Win,,,,,,,,,,,,,,,
,,,,,,HellaHeavys,50,0,4,1,0,1,0,19,76.0,25,12,17,70.6
,,,,,,TotallyCoco,22,8,4,1,1,2,2,9,100.0,9,4,4,100.0
,,,,,,HellaBoots,20,0,10,2,0,2,1,7,77.8,9,6,8,75.0
,,,,,,Jairo2k,11,2,3,3,1,3,0,4,80.0,5,2,3,66.7
,,,,,,sonovember,10,13,12,1,0,1,2,5,83.3,6,0,0,0
