Date,Time,Court,Teams,Results,Outcome,Players,PTS,REB,AST,STL,BLK,PF,TO,FGM,FG%,FGA,3PM,3PA,3P%
11/18/2025,,Regular Season,Heartless,0|0|0|0|0|76,Win,,,,,,,,,,,,,,
,,,,,,GINOBILLI,22,0,9,0,0,0,2,7,53.8,13,5,11,45.5
,,,,,,II MxL II,17,0,0,0,3,1,0,7,87.5,8,3,4,75.0
,,,,,,lllllll1,15,0,3,0,0,0,0,6,54.5,11,3,7,42.9
,,,,,,Prvmx,13,0,2,1,2,4,0,5,71.4,7,3,5,60.0
,,,,,,Saksfiith,9,15,7,1,0,1,0,4,80.0,5,1,1,100.0
,,,THE MOB,0|0|0|0|0|67,Loss,,,,,,,,,,,,,,,
,,,,,,Gothum,19,5,1,0,0,1,0,7,58.3,12,5,8,62.5
,,,,,,PattyMil,16,0,14,1,0,0,1,5,41.7,12,4,9,44.4
,,,,,,Reallytrxp,15,1,0,0,0,1,0,5,55.6,9,4,7,57.1
,,,,,,Hit RB LT,12,9,3,0,0,2,2,5,62.5,8,0,0,0
,,,,,,StopBaited,5,0,0,1,0,2,0,2,100.0,2,1,1,100.0
