Date,Time,Court,Teams,Results,Outcome,Players,PTS,REB,AST,STL,BLK,PF,TO,FGM,FG%,FGA,3PM,3PA,3P%
11/24/2025,,Regular Season,Hidden Greatness,0|0|0|0|0|61,Loss,,,,,,,,,,,,,,
,,,,,,Futurewyd,30,0,8,2,0,0,2,11,64.7,17,7,12,58.3
,,,,,,Bufsi,19,8,1,0,0,0,2,8,88.9,9,1,1,100.0
,,,,,,Tfjuice,12,0,0,1,0,3,0,6,85.7,7,0,1,0.0
,,,,,,EvolutionDrizzy,0,0,5,1,0,0,0,0,0.0,3,0,0,0
,,,,,,Yessirdylan,0,5,2,0,0,0,0,0,0.0,1,0,1,0.0
,,,Two City Cyclones,0|0|0|0|0|62,Win,,,,,,,,,,,,,,,
,,,,,,Deyvw,16,9,1,0,0,1,1,8,72.7,11,0,0,0
,,,,,,SlimlQ,14,1,11,0,0,0,1,6,50.0,12,2,7,28.6
,,,,,,YSNrunitup,13,0,1,0,0,1,2,5,55.6,9,3,6,50.0
,,,,,,cheekylocc,10,1,0,1,0,2,0,4,80.0,5,2,2,100.0
,,,,,,llLoadingll,9,3,2,3,0,1,0,3,50.0,6,3,5,60.0
