Date,Time,Court,Teams,Results,Outcome,Players,PTS,REB,AST,STL,BLK,PF,TO,FGM,FG%,FGA,3PM,3PA,3P%
12/4/2025,,Regular Season,Coatesville,0|0|0|0|0|102,Win,,,,,,,,,,,,,,
,,,,,,Xmajxx,68,0,4,3,0,2,0,22,68.8,32,19,28,67.9
,,,,,,JlottoDaDon,11,7,5,3,2,0,0,3,100.0,3,3,3,100.0
,,,,,,BudSkrt,10,13,13,2,0,1,2,5,55.6,9,0,2,0.0
,,,,,,EnvyZayyy,8,0,4,1,0,0,0,3,60.0,5,2,4,50.0
,,,,,,VerifiedMere,5,0,4,4,0,2,0,2,50.0,4,0,1,0.0
,,,New Strap City,0|0|0|0|0|57,Loss,,,,,,,,,,,,,,,
,,,,,,iFlexx_48,22,1,1,1,0,3,2,8,72.7,11,6,9,66.7
,,,,,,TheGlue4,10,1,9,0,0,0,9,5,45.5,11,0,4,0.0
,,,,,,Yikki-Za,10,0,0,0,0,2,1,4,100.0,4,2,2,100.0
,,,,,,RickThaShooter,9,5,2,1,1,2,1,4,66.7,6,1,2,50.0
,,,,,,Melo3pt,6,3,0,0,0,1,0,2,40.0,5,2,5,40.0
