Date,Time,Court,Teams,Results,Outcome,Players,PTS,REB,AST,STL,BLK,PF,TO,FGM,FG%,FGA,3PM,3PA,3P%
11/18/2025,,Regular Season,6ix Elite,0|0|0|0|0|80,Win,,,,,,,,,,,,,,
,,,,,,RhinoDiarrhea,20,0,16,1,0,0,0,6,42.9,14,6,14,42.9
,,,,,,StephBeenLit,18,1,1,0,0,0,0,8,72.7,11,2,5,40.0
,,,,,,InEdWeTrust-,18,0,0,2,0,0,0,8,72.7,11,2,3,66.7
,,,,,,Dungardoctor,18,15,5,0,0,0,2,7,100.0,7,4,4,100.0
,,,,,,IIManuck,6,5,1,0,2,2,0,3,60.0,5,0,1,0.0
,,,THE MOB,0|0|0|0|0|69,Loss,,,,,,,,,,,,,,,
,,,,,,Reallytrxp,37,1,3,2,0,1,0,12,70.6,17,10,13,76.9
,,,,,,Hit RB LT,11,8,4,0,1,0,0,5,55.6,9,1,2,50.0
,,,,,,Gothum,9,3,2,0,0,1,0,3,50.0,6,3,5,60.0
,,,,,,PattyMil,7,0,6,0,0,2,3,3,27.3,11,1,7,14.3
,,,,,,StopBaited,5,0,1,0,0,3,0,2,100.0,2,1,1,100.0
