Date,Time,Court,Teams,Results,Outcome,Players,PTS,REB,AST,STL,BLK,PF,TO,FGM,FG%,FGA,3PM,3PA,3P%
11/21/2025,,Regular Season,New Strap City,0|0|0|0|0|61,Loss,,,,,,,,,,,,,,
,,,,,,TheGlue4,25,1,6,0,0,0,2,7,41.2,17,4,12,33.3
,,,,,,RickThaShooter,13,13,3,0,1,0,1,6,66.7,9,1,1,100.0
,,,,,,iFlexx_48,13,0,2,1,0,2,2,5,35.7,14,3,11,27.3
,,,,,,Melo3pt,8,1,2,2,0,2,0,2,66.7,3,1,2,50.0
,,,,,,Im_different4,2,7,1,1,0,0,2,1,100.0,1,0,0,0
,,,Defy Gravity,0|0|0|0|0|80,Win,,,,,,,,,,,,,,,
,,,,,,NextLaneOpen-,22,1,3,4,0,4,1,8,80.0,10,6,7,85.7
,,,,,,llSafll,17,1,7,0,0,0,1,6,42.9,14,5,12,41.7
,,,,,,mo means,17,0,8,0,0,1,1,7,43.8,16,3,10,30.0
,,,,,,DenyDots,12,12,1,2,0,1,1,4,57.1,7,4,7,57.1
,,,,,,Ayeeyoocorb,12,11,5,0,0,2,0,5,71.4,7,2,3,66.7
