Date,Time,Court,Teams,Results,Outcome,Players,PTS,REB,AST,STL,BLK,PF,TO,FGM,FG%,FGA,3PM,3PA,3P%
11/21/2025,,Regular Season,Non Stop,0|0|0|0|0|79,Loss,,,,,,,,,,,,,,
,,,,,,TrustDrippy,40,0,6,1,0,2,4,15,83.3,18,9,11,81.8
,,,,,,IIDrezz,29,0,5,0,0,2,3,10,71.4,14,8,10,80.0
,,,,,,Tenacious Rebound,8,3,5,0,0,0,1,4,66.7,6,0,1,0.0
,,,,,,Reallyhim,2,0,1,3,0,4,0,1,100.0,1,0,0,0
,,,,,,Lane script,0,4,3,1,1,1,1,0,0,0,0,0,0
,,,TheCabin,0|0|0|0|0|81,Win,,,,,,,,,,,,,,,
,,,,,,tulycapalot,32,1,4,2,0,2,1,12,63.2,19,6,10,60.0
,,,,,,lCozyll,13,0,10,0,0,0,4,4,57.1,7,2,5,40.0
,,,,,,AlwaysBeenMe,13,1,1,2,0,4,0,6,75.0,8,1,2,50.0
,,,,,,lllSELLlll,12,10,7,0,0,0,0,5,83.3,6,0,1,0.0
,,,,,,ExactlyDre,11,1,2,4,1,0,0,4,80.0,5,3,4,75.0
